City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Vostok,RU,2022-07-29 01:28:39,46.4856,135.8833,82.17,60,100,1.23
162,Bathsheba,BB,2022-07-29 01:28:40,13.2167,-59.5167,81.21,85,20,16.11
163,Sao Filipe,CV,2022-07-29 01:28:40,14.8961,-24.4956,79.34,74,0,14.81
164,Mugur-Aksy,RU,2022-07-29 01:28:40,50.35,90.5,57.43,52,42,0.96
165,Iqaluit,CA,2022-07-29 01:28:41,63.7506,-68.5145,49.73,71,75,2.3
166,San Quintin,MX,2022-07-29 01:28:41,30.4833,-115.95,70.93,74,12,10.83
167,Avera,US,2022-07-29 01:28:41,33.194,-82.5271,83.71,58,100,5.82
168,Axim,GH,2022-07-29 01:28:41,4.8699,-2.2405,75.4,75,100,11.41
169,Jiwani,PK,2022-07-29 01:28:42,25.05,61.7417,80.62,79,100,7.81
170,Ponta Delgada,PT,2022-07-29 01:28:26,37.7333,-25.6667,72.32,78,75,4.61
171,Humaita,BR,2022-07-29 01:28:42,-7.5061,-63.0208,76.53,42,3,1.57
172,Lensk,RU,2022-07-29 01:28:42,60.7253,114.9278,68.86,91,100,4.25
173,Paramonga,PE,2022-07-29 01:24:04,-10.6667,-77.8333,61.36,83,57,10.71
174,Magistralnyy,RU,2022-07-29 01:28:43,56.1725,107.4458,55.8,95,100,5.06
175,Makakilo City,US,2022-07-29 01:28:43,21.3469,-158.0858,82.72,63,100,16.11
176,Thinadhoo,MV,2022-07-29 01:28:43,0.5333,72.9333,82.04,74,63,12.1
177,Iberia,US,2022-07-29 01:28:44,29.9502,-91.7507,82.98,78,0,0.0
178,Batemans Bay,AU,2022-07-29 01:28:44,-35.7167,150.1833,54.1,46,0,8.25
179,Pyay,MM,2022-07-29 01:28:44,18.8167,95.2167,83.97,73,12,2.71
180,Naze,JP,2022-07-29 01:28:45,28.3667,129.4833,85.12,84,98,14.67
181,Moerai,PF,2022-07-29 01:28:45,-22.4333,-151.3333,73.13,83,95,25.5
182,Pombia,IT,2022-07-29 01:28:45,45.653,8.6336,70.25,68,40,5.75
183,Leningradskiy,RU,2022-07-29 01:29:46,69.3833,178.4167,43.63,72,65,9.55
184,Bethel,US,2022-07-29 01:29:46,41.3712,-73.414,79.86,92,100,4.68
185,Poum,NC,2022-07-29 01:29:46,-20.2333,164.0167,72.05,73,100,7.56
186,Charlestown,AU,2022-07-29 01:29:46,-32.95,151.6667,61.5,50,57,8.99
