City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Georgetown,MY,2022-07-27 02:19:00,5.4112,100.3354,85.95,75,20,9.22
121,Diego De Almagro,CL,2022-07-27 02:19:01,-26.3667,-70.05,57.72,51,25,1.39
122,Avarua,CK,2022-07-27 02:15:51,-21.2078,-159.775,73.45,60,20,18.41
123,Luganville,VU,2022-07-27 02:19:01,-15.5333,167.1667,83.23,72,22,6.89
124,Ponta Do Sol,PT,2022-07-27 02:19:01,32.6667,-17.1,74.03,60,1,6.15
125,Puerto Ayora,EC,2022-07-27 02:16:31,-0.7393,-90.3518,69.55,93,100,4.0
126,Kichera,RU,2022-07-27 02:19:02,55.9375,110.0997,59.58,91,100,4.38
127,Nouakchott,MR,2022-07-27 02:19:02,18.0858,-15.9785,80.53,83,51,12.59
128,Tasiilaq,GL,2022-07-27 02:15:42,65.6145,-37.6368,39.36,94,100,4.05
129,Homer,US,2022-07-27 02:19:02,59.6425,-151.5483,57.07,64,0,9.22
130,Borgen,NO,2022-07-27 02:19:03,59.8206,10.4257,58.53,30,100,3.27
131,Torbay,CA,2022-07-27 02:19:03,47.6666,-52.7314,68.77,92,100,16.11
132,Kresttsy,RU,2022-07-27 02:19:03,58.2452,32.5165,65.07,77,100,4.43
133,Normandin,CA,2022-07-27 02:19:04,48.8333,-72.5321,59.13,94,99,3.44
134,Eyl,SO,2022-07-27 02:19:04,7.9803,49.8164,77.43,67,22,23.15
135,Coahuayana,MX,2022-07-27 02:16:39,18.7333,-103.6833,79.68,80,100,2.3
136,Sao Miguel Do Araguaia,BR,2022-07-27 02:19:05,-13.275,-50.1628,73.27,36,5,3.38
137,Pisco,PE,2022-07-27 02:20:05,-13.7,-76.2167,60.85,88,75,4.61
138,Bathsheba,BB,2022-07-27 02:20:06,13.2167,-59.5167,81.21,88,40,17.27
139,Guerrero Negro,MX,2022-07-27 02:20:06,27.9769,-114.0611,70.88,77,8,13.73
140,Bluefield,US,2022-07-27 02:16:54,37.2698,-81.2223,70.36,92,75,4.61
141,Victoria,HK,2022-07-27 02:19:20,22.2855,114.1577,92.25,67,11,8.99
142,Port-Cartier,CA,2022-07-27 02:20:06,50.0334,-66.8654,67.68,79,71,5.57
143,Magadan,RU,2022-07-27 02:19:36,59.5667,150.8,74.53,78,75,5.93
144,Pevek,RU,2022-07-27 02:20:07,69.7008,170.3133,34.88,86,100,12.28
145,Hilo,US,2022-07-27 02:17:41,19.7297,-155.09,88.29,84,75,6.91
146,Port Elizabeth,ZA,2022-07-27 02:19:17,-33.918,25.5701,59.31,82,0,18.99
